Code,Structure Type,English Name,French Name,Language ID,Alternative Title text
J04a04,Descriptor,Deal With External Customers,Traiter avec des clients de l’externe,,
J04a05,Descriptor,Work with Work Group or Team,Travail en équipe ou en groupe,,
J04a06,Descriptor,Deal with Physically Aggressive People,Traiter avec des gens au comportement physiquement agressif,,
J04a07,Descriptor,Dealing With Unpleasant or Angry People,Traiter avec des gens en colère ou au comportement déplaisant,,
J04b,Similarity Group,Communication Methods,Méthodes de communication,,
J04b01,Descriptor,Electronic Mail,Utilisation de messagerie électronique,,
J04b02,Descriptor,Face-to-Face Discussions,Discussions en personne,,
J04b03,Descriptor,Written Communications,Communications écrites,13,Letters and Memos
,,,,18,Lettres et notes de service
J04b04,Descriptor,Public Speaking,Parler en public,,
J04b05,Descriptor,Telephone,Utilisation du téléphone,,
J04b06,Descriptor,Videoconference,Vidéoconférence,,
J04c,Similarity Group,Interpersonal Responsibilities,Responsabilités interpersonnelles,,
J04c01,Descriptor,Responsibility for Outcomes and Results of Other Workers,Porter la responsabilité des résultats des autres travailleurs,,
J04c02,Descriptor,Responsible for Others' Health and Safety,Porter la responsabilité relative à la santé et la sécurité d'autres personnes,,
K,Category,Work Activities,Activités du travail,,
K01,Sub-Category,Information-Oriented Activities,Activités axées sur l’information,,
K01a,Similarity Group,Looking for and Receiving Job-Related Information,Recherche et réception d'informations relatives à l'emploi,,
K01a01,Descriptor,Getting Information,Obtention d’information,,
K01a02,Descriptor,"Monitoring Processes, Materials, or Surroundings","Surveillance de processus, de matériels ou d’environnements",,
K01a03,Descriptor,Document Use,Utilisation de documents,,
K01a04,Descriptor,Information Synthesis,Synthèse d'information,,
K01a05,Descriptor,Comparing,Comparaison,,
K01a06,Descriptor,Analyzing Data or Information,Analyser des données ou de l’information,,
K01a07,Descriptor,Developing Technical Instructions,Développer des instructions techniques,,
K01a08,Descriptor,Clerical Activities,Tâches administratives,,
K01b,Similarity Group,Identify and Evaluating Job-Relevant Information,Identifier et évaluer l'information pertinente pour l'emploi,,
K01b01,Descriptor,"Identifying Objects, Actions, and Events","Identification d’objets, d'actions et d'événements",,
K01b02,Descriptor,Estimating the Quantifiable Characteristics,Estimation des caractéristiques quantifiables,,
K01b03,Descriptor,"Inspecting Equipment, Structures, or Material","Inspection d’équipements, de structures ou de matériaux",,
K01b04,Descriptor,Processing Information,Traiter de l’information,,
K02,Sub-Category,Physically-Oriented Activities,Activités axées sur la dimension physique,,
K02a,Similarity Group,Performing Physical and Manual Work Activities,Exécution d'activités de travail physique et manuel,,
K02a01,Descriptor,Handling and Moving Objects,Manipuler et déplacer des objets,,
K02a02,Descriptor,"Operating Vehicles, Mechanized Devices, or Equipment","Manœuvrer des véhicules, appareils ou équipements mécaniques",,
K02a03,Descriptor,Constructing,Construire,,
K02a04,Descriptor,Controlling Machines and Processes,Contrôler des machines et des processus,,
K02a05,Descriptor,Manipulating - Operating,Manipuler - Opérer,,
K02a06,Descriptor,Sorting,Triage,,
K02a07,Descriptor,Catering,Restauration,,
K02a08,Descriptor,Performing Janitorial Services,Effectuer des services de conciergerie,,
K02a09,Descriptor,Performing General Physical Activities,Performer des activités physiques,,
